bronx_pace_bkt,pace_diff_bkt,runners,bronx_pace_bkt_1,p10,p50,p90
10:20,-130.0,30,10:20,-180.0,-90.0,-10.0
12:50,-130.0,4,12:50,-200.0,-100.0,10.0
14:10,-80.0,4,14:10,-220.0,-105.0,-12.0
10:20,-90.0,38,10:20,-180.0,-90.0,-10.0
08:50,-140.0,40,08:50,-160.0,-80.0,-20.0
05:40,-70.0,4,05:40,-57.0,-30.0,-20.0
06:30,-10.0,16,06:30,-110.0,-50.0,-20.0
06:20,-40.0,39,06:20,-90.0,-40.0,-20.0
09:10,-180.0,18,09:10,-180.0,-90.0,-20.0
11:40,-160.0,10,11:40,-190.0,-100.0,-10.0
07:10,-100.0,30,07:10,-130.0,-60.0,-30.0
06:20,-20.0,27,06:20,-90.0,-40.0,-20.0
09:30,-120.0,38,09:30,-180.0,-80.0,-20.0
10:50,-20.0,18,10:50,-180.0,-90.0,-10.0
12:30,-80.0,16,12:30,-180.0,-90.0,20.0
10:20,-160.0,21,10:20,-180.0,-90.0,-10.0
11:40,-100.0,36,11:40,-190.0,-100.0,-10.0
08:30,-190.0,15,08:30,-160.0,-80.0,-20.0
11:00,-140.0,24,11:00,-190.0,-100.0,-10.0
08:20,-50.0,82,08:20,-165.0,-80.0,-20.0
06:40,-50.0,44,06:40,-100.0,-50.0,-20.0
11:10,-140.0,26,11:10,-190.0,-100.0,-10.0
09:40,-20.0,36,09:40,-170.0,-90.0,-20.0
10:50,-140.0,18,10:50,-180.0,-90.0,-10.0
06:30,-220.0,1,06:30,-110.0,-50.0,-20.0
10:30,-80.0,45,10:30,-181.0,-90.0,-10.0
06:40,-140.0,1,06:40,-100.0,-50.0,-20.0
11:20,-160.0,10,11:20,-180.0,-100.0,0.0
11:40,-230.0,1,11:40,-190.0,-100.0,-10.0
08:30,-90.0,76,08:30,-160.0,-80.0,-20.0
09:50,-90.0,51,09:50,-180.0,-80.0,-20.0
08:10,30.0,3,08:10,-150.0,-80.0,-20.0
11:50,-110.0,20,11:50,-180.0,-100.0,-3.0
09:20,-140.0,40,09:20,-180.0,-90.0,-20.0
09:20,-50.0,58,09:20,-180.0,-90.0,-20.0
10:00,-90.0,47,10:00,-170.0,-90.0,-10.0
10:30,-160.0,14,10:30,-181.0,-90.0,-10.0
12:10,-160.0,8,12:10,-190.0,-100.0,-10.0
10:30,40.0,7,10:30,-181.0,-90.0,-10.0
14:00,-40.0,2,14:00,-210.0,-115.0,0.0
08:30,-140.0,39,08:30,-160.0,-80.0,-20.0
10:00,-20.0,25,10:00,-170.0,-90.0,-10.0
07:20,-130.0,16,07:20,-140.0,-60.0,-20.0
11:10,-100.0,25,11:10,-190.0,-100.0,-10.0
07:50,-190.0,8,07:50,-150.0,-70.0,-20.0
12:10,-100.0,18,12:10,-190.0,-100.0,-10.0
06:30,0.0,7,06:30,-110.0,-50.0,-20.0
13:20,-20.0,8,13:20,-188.0,-70.0,70.0
12:20,-90.0,12,12:20,-201.0,-100.0,-10.0
10:20,-50.0,54,10:20,-180.0,-90.0,-10.0
08:10,-10.0,29,08:10,-150.0,-80.0,-20.0
10:40,-240.0,19,10:40,-180.0,-100.0,-24.0
12:30,-50.0,11,12:30,-180.0,-90.0,20.0
08:00,-180.0,13,08:00,-160.0,-70.0,-20.0
11:00,0.0,10,11:00,-190.0,-100.0,-10.0
10:10,20.0,11,10:10,-180.0,-90.0,-20.0
13:10,-150.0,5,13:10,-180.0,-90.0,-20.0
11:30,-180.0,5,11:30,-190.0,-100.0,-10.0
10:30,-180.0,13,10:30,-181.0,-90.0,-10.0
09:50,20.0,10,09:50,-180.0,-80.0,-20.0
09:30,-130.0,45,09:30,-180.0,-80.0,-20.0
08:40,-40.0,72,08:40,-160.0,-80.0,-20.0
15:40,-230.0,1,15:40,-188.0,-105.0,9.0
06:10,-40.0,13,06:10,-90.0,-40.0,-20.0
14:00,-70.0,2,14:00,-210.0,-115.0,0.0
08:40,-240.0,19,08:40,-160.0,-80.0,-20.0
08:40,-120.0,59,08:40,-160.0,-80.0,-20.0
11:30,-170.0,7,11:30,-190.0,-100.0,-10.0
08:10,-130.0,39,08:10,-150.0,-80.0,-20.0
06:40,10.0,2,06:40,-100.0,-50.0,-20.0
06:30,-50.0,32,06:30,-110.0,-50.0,-20.0
07:00,-20.0,30,07:00,-130.0,-60.0,-20.0
06:40,-40.0,50,06:40,-100.0,-50.0,-20.0
09:30,0.0,16,09:30,-180.0,-80.0,-20.0
09:30,40.0,7,09:30,-180.0,-80.0,-20.0
12:40,-120.0,9,12:40,-190.0,-80.0,32.0
10:30,80.0,5,10:30,-181.0,-90.0,-10.0
10:10,-100.0,35,10:10,-180.0,-90.0,-20.0
07:20,-80.0,56,07:20,-140.0,-60.0,-20.0
11:00,-120.0,32,11:00,-190.0,-100.0,-10.0
10:30,-120.0,33,10:30,-181.0,-90.0,-10.0
07:20,-100.0,32,07:20,-140.0,-60.0,-20.0
10:50,-30.0,29,10:50,-180.0,-90.0,-10.0
09:00,-160.0,23,09:00,-161.0,-80.0,-20.0
15:10,-170.0,2,15:10,-170.0,-80.0,-10.0
07:50,-10.0,34,07:50,-150.0,-70.0,-20.0
09:40,-230.0,8,09:40,-170.0,-90.0,-20.0
