bronx_pace_bkt,pace_diff_bkt,runners,bronx_pace_bkt_1,p10,p50,p90
09:10,-160,28,09:10,-180,-90,-20
08:20,-180,18,08:20,-165,-80,-20
06:50,-30,56,06:50,-120,-60,-20
07:10,-240,3,07:10,-130,-60,-30
07:50,-290,4,07:50,-150,-70,-20
10:30,-20,22,10:30,-181,-90,-10
12:00,0,7,12:00,-204,-100,10
12:30,-60,13,12:30,-180,-90,20
09:00,-160,23,09:00,-161,-80,-20
10:50,-190,9,10:50,-180,-90,-10
09:40,-10,30,09:40,-170,-90,-20
06:10,-20,20,06:10,-90,-40,-20
07:50,-140,20,07:50,-150,-70,-20
13:10,-100,5,13:10,-180,-90,-20
10:10,-210,7,10:10,-180,-90,-20
14:20,-170,1,14:20,-179,-90,30
10:50,-170,17,10:50,-180,-90,-10
06:30,-170,1,06:30,-110,-50,-20
13:40,-50,4,13:40,-199,-80,107
12:50,-110,15,12:50,-200,-100,20
13:40,-120,4,13:40,-199,-80,107
11:10,-130,30,11:10,-190,-100,-10
09:00,-130,40,09:00,-161,-80,-20
10:50,40,11,10:50,-180,-90,-10
08:20,-10,24,08:20,-165,-80,-20
06:20,-150,3,06:20,-90,-40,-20
05:50,-80,2,05:50,-72,-30,-18
14:00,-130,5,14:00,-210,-105,20
11:50,-90,13,11:50,-180,-95,0
11:20,-230,7,11:20,-180,-100,0
11:40,30,8,11:40,-190,-100,-10
14:40,-210,1,14:40,-210,-50,70
10:10,-180,14,10:10,-180,-90,-20
12:50,-170,2,12:50,-200,-100,20
12:40,-180,3,12:40,-180,-80,42
08:30,-200,2,08:30,-160,-80,-20
11:30,-80,27,11:30,-190,-100,-10
11:50,-210,4,11:50,-180,-95,0
10:50,-130,28,10:50,-180,-90,-10
10:00,60,4,10:00,-170,-90,-10
09:00,-190,17,09:00,-161,-80,-20
07:20,-130,16,07:20,-140,-60,-20
10:50,-60,43,10:50,-180,-90,-10
08:40,-180,16,08:40,-160,-80,-20
08:20,30,7,08:20,-165,-80,-20
11:30,-140,17,11:30,-190,-100,-10
11:10,-10,18,11:10,-190,-100,-10
06:30,0,7,06:30,-110,-50,-20
06:50,-80,39,06:50,-120,-60,-20
06:40,-50,44,06:40,-100,-50,-20
10:50,-20,18,10:50,-180,-90,-10
11:30,-40,11,11:30,-190,-100,-10
09:50,-260,3,09:50,-180,-80,-20
07:20,-40,61,07:20,-140,-60,-20
13:30,-110,3,13:30,-176,-90,40
10:20,20,12,10:20,-180,-90,-10
07:50,10,5,07:50,-150,-70,-20
09:50,-10,13,09:50,-180,-80,-20
08:30,-330,2,08:30,-160,-80,-20
10:00,-220,7,10:00,-170,-90,-10
15:00,-110,1,15:00,-130,-55,77
11:30,-120,27,11:30,-190,-100,-10
09:30,-420,1,09:30,-180,-80,-20
07:10,-90,29,07:10,-130,-60,-30
06:50,-550,1,06:50,-120,-60,-20
10:00,-210,8,10:00,-170,-90,-10
06:40,-100,10,06:40,-100,-50,-20
07:50,-130,19,07:50,-150,-70,-20
06:50,-50,46,06:50,-120,-60,-20
11:20,-90,20,11:20,-180,-100,0
05:50,-40,5,05:50,-72,-30,-18
11:10,-100,25,11:10,-190,-100,-10
09:10,70,3,09:10,-180,-90,-20
14:40,180,1,14:40,-210,-50,70
11:30,-170,7,11:30,-190,-100,-10
09:40,-350,2,09:40,-170,-90,-20
12:40,-110,6,12:40,-180,-80,42
09:30,0,16,09:30,-180,-80,-20
07:10,-100,30,07:10,-130,-60,-30
11:10,50,1,11:10,-190,-100,-10
10:10,-30,26,10:10,-180,-90,-20
12:40,40,2,12:40,-180,-80,42
09:10,-230,9,09:10,-180,-90,-20
10:50,-30,29,10:50,-180,-90,-10
06:30,-90,9,06:30,-110,-50,-20
10:20,-170,27,10:20,-180,-90,-10
06:10,-70,9,06:10,-90,-40,-20
10:30,-140,22,10:30,-181,-90,-10
10:10,10,8,10:10,-180,-90,-20
12:00,50,4,12:00,-204,-100,10
13:40,-280,1,13:40,-199,-80,107
12:40,220,1,12:40,-180,-80,42
11:10,-50,17,11:10,-190,-100,-10
11:40,-250,5,11:40,-190,-100,-10
13:10,-130,7,13:10,-180,-90,-20
12:20,-460,1,12:20,-200,-100,-10
09:00,-140,30,09:00,-161,-80,-20
07:50,-180,7,07:50,-150,-70,-20
