bronx_pace_bkt,pace_diff_bkt,runners,bronx_pace_bkt_1,p10,p50,p90
09:30,30.0,105,09:30,-84.0,-20.0,30.0
13:10,40.0,11,13:10,-90.0,-10.0,80.0
09:40,-240.0,21,09:40,-90.0,-20.0,30.0
09:40,-150.0,8,09:40,-90.0,-20.0,30.0
12:50,-90.0,4,12:50,-80.0,-10.0,80.0
08:00,-70.0,28,08:00,-73.0,-10.0,20.0
14:10,-30.0,11,14:10,-70.0,5.0,87.0
13:30,-70.0,7,13:30,-74.0,0.0,90.0
14:20,-60.0,7,14:20,-70.0,0.0,100.0
13:00,-40.0,21,13:00,-80.0,-10.0,91.0
11:50,70.0,14,11:50,-90.0,-10.0,60.0
10:20,80.0,21,10:20,-85.0,-20.0,40.0
07:00,-40.0,27,07:00,-70.0,-20.0,20.0
10:00,-140.0,11,10:00,-80.0,-20.0,40.0
13:20,-30.0,17,13:20,-99.0,0.0,90.0
07:00,-70.0,8,07:00,-70.0,-20.0,20.0
09:20,-210.0,6,09:20,-80.0,-20.0,30.0
13:00,-20.0,16,13:00,-80.0,-10.0,91.0
12:30,-110.0,15,12:30,-100.0,-10.0,70.0
06:40,20.0,14,06:40,-60.0,-10.0,10.0
13:20,80.0,6,13:20,-99.0,0.0,90.0
10:40,10.0,112,10:40,-80.0,-20.0,40.0
11:40,-90.0,28,11:40,-90.0,-10.0,60.0
07:40,-50.0,41,07:40,-70.0,-10.0,20.0
12:40,-100.0,7,12:40,-90.0,-10.0,90.0
12:50,180.0,3,12:50,-80.0,-10.0,80.0
07:20,60.0,4,07:20,-70.0,-10.0,20.0
09:00,40.0,49,09:00,-90.0,-20.0,20.0
09:00,-180.0,4,09:00,-90.0,-20.0,20.0
10:30,50.0,48,10:30,-90.0,-20.0,40.0
10:40,100.0,11,10:40,-80.0,-20.0,40.0
06:40,-10.0,54,06:40,-60.0,-10.0,10.0
11:40,60.0,20,11:40,-90.0,-10.0,60.0
12:30,110.0,5,12:30,-100.0,-10.0,70.0
09:00,50.0,34,09:00,-90.0,-20.0,20.0
12:20,-10.0,38,12:20,-90.0,-10.0,70.0
08:30,0.0,218,08:30,-80.0,-20.0,20.0
07:00,-150.0,3,07:00,-70.0,-20.0,20.0
09:30,-90.0,42,09:30,-84.0,-20.0,30.0
08:20,-120.0,10,08:20,-80.0,-20.0,20.0
11:50,40.0,31,11:50,-90.0,-10.0,60.0
11:20,90.0,14,11:20,-90.0,-10.0,50.0
11:10,-120.0,20,11:10,-95.0,-10.0,50.0
09:30,60.0,23,09:30,-84.0,-20.0,30.0
08:50,-200.0,3,08:50,-80.0,-20.0,20.0
09:30,20.0,106,09:30,-84.0,-20.0,30.0
15:20,170.0,3,15:20,-92.0,15.0,143.0
10:50,80.0,10,10:50,-84.0,-20.0,40.0
11:10,60.0,27,11:10,-95.0,-10.0,50.0
14:10,30.0,8,14:10,-70.0,5.0,87.0
13:20,0.0,13,13:20,-99.0,0.0,90.0
06:10,-30.0,7,06:10,-51.0,-10.0,10.0
14:50,-20.0,5,14:50,-70.0,0.0,90.0
13:00,-10.0,19,13:00,-80.0,-10.0,91.0
09:00,100.0,3,09:00,-90.0,-20.0,20.0
14:30,-40.0,6,14:30,-84.0,0.0,90.0
15:20,-70.0,3,15:20,-92.0,15.0,143.0
06:50,-190.0,2,06:50,-70.0,-10.0,10.0
13:20,-80.0,10,13:20,-99.0,0.0,90.0
13:10,30.0,18,13:10,-90.0,-10.0,80.0
13:50,50.0,10,13:50,-110.0,-10.0,90.0
06:10,10.0,5,06:10,-51.0,-10.0,10.0
13:20,100.0,4,13:20,-99.0,0.0,90.0
11:40,50.0,22,11:40,-90.0,-10.0,60.0
08:30,20.0,94,08:30,-80.0,-20.0,20.0
09:10,-210.0,6,09:10,-80.0,-20.0,30.0
11:50,10.0,52,11:50,-90.0,-10.0,60.0
12:50,-10.0,27,12:50,-80.0,-10.0,80.0
16:10,-20.0,1,16:10,-85.0,25.0,115.0
07:30,-90.0,10,07:30,-70.0,-10.0,20.0
13:50,-100.0,4,13:50,-110.0,-10.0,90.0
09:30,-160.0,6,09:30,-84.0,-20.0,30.0
14:00,20.0,5,14:00,-100.0,0.0,100.0
07:00,60.0,1,07:00,-70.0,-20.0,20.0
13:10,20.0,15,13:10,-90.0,-10.0,80.0
06:40,-30.0,28,06:40,-60.0,-10.0,10.0
